194	0x4399f61795d3e50096e236a6d31ab24470c99fd5		76,989.881598 Ether	0.06537512%	121
195	0xca0a044400c1fa857e4cd0c95d86376b85659303		76,477.46926765 Ether	0.06494001%	1,820
196	0x2268f45acb887e0a4e9c8714798fa7892629e91f		75,759.83100133 Ether	0.06433063%	7
197	0x795cbc7a670d06e56cd2197d4ca175e081a416ad		75,718.65602026 Ether	0.06429567%	14
198	0x8033539e873b3f0deaba706dd6d3480e0dd5cb30		75,311.97593314 Ether	0.06395034%	11
199	0x3f7e77b627676763997344a1ad71acb765fc8ac5		75,026.12978599 Ether	0.06370762%	8
200	0x530e0a6993ea99ffc96615af43f327225a5fe536		74,986.73489061 Ether	0.06367417%	4,319
201	0x3229149012a035ef51d724e0343eb31ce3e4bb7d		73,050.87785167 Ether	0.06203035%	7,035
202	0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0	Kraken 4	72,667.20284884 Ether	0.06170456%	2,202,330
203	0xab7bb7959332888e44d795c6f28ee876a8469eaa		72,550.05 Ether	0.06160508%	9
204	0x802ea31c421ec79e8190cb68b699af3e3bc625fe		71,999.99475008 Ether	0.06113801%	3
205	0x4299f8147efad733bdd07844d1b03178334aa68b		71,836.57897662 Ether	0.06099924%	23
206	0x755cdba6ae4f479f7164792b318b2a06c759833b	ExtraBalDaoWithdraw	71,232.66243092 Ether	0.06048643%	8,217
207	0xa3e4caa3ce9e73665397af64d3d0858975a6a1d0		71,192.77243208 Ether	0.06045256%	4
208	0xb3b7f6b3b02dc9f54214194d5836a146fb5893e7		71,114.41162848 Ether	0.06038602%	10
209	0x631617282dae8672d63344d69f2c085df9f2dad5		71,090.81247785 Ether	0.06036598%	118
210	0x6b378be3c9642ccf25b1a27facb8ace24ac34a12		70,000 Ether	0.05943973%	10
211	0xdca6ab9508d28c0eb7b120b8252041edcb56753f		70,000 Ether	0.05943973%	5
212	0x062448f804191128d71fc72e10a1d13bd7308e7e		69,999.98336715 Ether	0.05943972%	35
213	0xc4c319e2d4d66cca4464c0c2b32c9bd23ebe784e		68,697.39798122 Ether	0.05833364%	1,279
214	0x1e143b2588705dfea63a17f2032ca123df995ce0		67,317.25758198 Ether	0.05716171%	20,772
215	0x4920f22b632bfaa40af8d39c31d9607809485952		67,312.7120218 Ether	0.05715785%	1
216	0xaf10cc6c50defff901b535691550d7af208939c5		66,914.78653052 Ether	0.05681996%	185
217	0x3cceb0d443ca4b1320ae4fa60a053eac163ca512		64,847.15212556 Ether	0.05506425%	14,852
218	0xa0e239b0abf4582366adaff486ee268c848c4409		64,282.19517837 Ether	0.05458452%	37
219	0x8759b0b1d9cba80e3836228dfb982abaa2c48b97		63,734.36885313 Ether	0.05411934%	303
220	0x6b2069bde6b87d0f882abbdc6eb4fcbd0a90bb96		63,506.22115962 Ether	0.05392561%	70
221	0x831c3720681096f276cb016b51a33433d7cb2faa		63,506.22115962 Ether	0.05392561%	60
222	0x7ced76dde9203a554df01cbb1ed0d17e9bce7524		63,506.22115962 Ether	0.05392561%	58
223	0x92f71d08f5ee94a7bf40fab05beda3545b55ad2a		63,506.22115962 Ether	0.05392561%	62
224	0x1b7b5b4bed048d86976d7cf51d9c4ea24e20ade7		63,506.22115962 Ether	0.05392561%	66
225	0x3f4ac8d3e1414b5351e632391908177c012c65cc		63,506.22115962 Ether	0.05392561%	65
226	0xad0d53cf033ab63dc72d653640766ee1d366cef6		63,506.22115962 Ether	0.05392561%	68
227	0xac08f21ef597a51865d69896f09b52472acde80d		63,506.22115962 Ether	0.05392561%	58
228	0x6fb8ebc19bc2a9fa4413ba6a0ca6fa99e974b461		63,506.22115962 Ether	0.05392561%	52
229	0x807cc0e799dcc651d94595e1f7f6e7373ef8f96a		63,506.22115962 Ether	0.05392561%	55
230	0xf196c023de1f19d6529133759f449c4b01ce0f51		63,506.22115962 Ether	0.05392561%	52
231	0xe9a5a2acfa9bee149ed28fcbf12b60ff2ad97efb		63,506.22115962 Ether	0.05392561%	62
232	0x303c741bb15c9c4b1c72320f6df702b32da80519		63,506.22115962 Ether	0.05392561%	67
233	0xe93fc974908003faddf0bd972b05b6494368d3f5		63,506.22115962 Ether	0.05392561%	56
234	0x36b6751586614d647d8a3f495e82bdcf250914c8		63,506.22115962 Ether	0.05392561%	56
235	0xa463597d49f54fe6a811fb894cbd67c7f92852b0		63,506.22115962 Ether	0.05392561%	57
236	0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d		63,506.22115962 Ether	0.05392561%	60
237	0x6e414cfad874d8ee716ea0299d40011207c907b8		63,506.22115962 Ether	0.05392561%	65
238	0x19bf56fca395a600c20f732b05757f30ad24a719		63,506.22115962 Ether	0.05392561%	61
239	0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b		63,506.22115962 Ether	0.05392561%	56
240	0xff2ac8c5834a7585fcc97edb8ba2431c4beab487		63,506.22115962 Ether	0.05392561%	53
241	0x4ed97d6470f5121a8e02498ea37a50987da0eec0		63,506.22115962 Ether	0.05392561%	63
242	0xcac9c634b4464efe71a9a5910edba06686baf457		63,506.22115962 Ether	0.05392561%	59
243	0x084ef8564b4f75a70b7ad5e8aabf73edac005397		63,506.22115962 Ether	0.05392561%	62
244	0x2d1566722288be5525b548a642c98b546f116aa0		63,506.22115962 Ether	0.05392561%	60
245	0xb4f4317b7885de16305d1303570879c21f378255		63,506.22115962 Ether	0.05392561%	61
246	0xf443864ba5d5361bbc54298551067194f980a635		63,506.22115962 Ether	0.05392561%	59
247	0x84bf16e7675cee22d0e0302913ccf58b45333ddf		63,506.22115962 Ether	0.05392561%	49
248	0xdcc36ab70d15c6df9af0f529517fafb6389cb29b		63,440.00100002 Ether	0.05386938%	10
249	0xb3177d9873b7ac246874114d8760e66dc5e797cc		63,172.45433006 Ether	0.05364220%	64
250	0x10cad69cbd241d36ed8c6d83a9f30b380134d1bc		63,172.45433006 Ether	0.05364220%	68
251	0x16769e533352798deb664ba570230a758346ca1a		62,800.09072875 Ether	0.05332601%	232
252	0x0a8f6257ef3ed3efdd8dd18dd9294d3e333ad7fc		62,533.02893252 Ether	0.05309924%	67
253	0x9aabd298b30d034f8c64f86aa25fc74b9f70930f		62,114.61757541 Ether	0.05274395%	66
254	0xe27f62b70ab44d7fd1842dce66138a31940fa29a		62,052.04803101 Ether	0.05269082%	64
255	0xdfb6a4b143f6a1de4725c451c46433801de52bfd		62,000.28142684 Ether	0.05264686%	20
256	0x8b505e2871f7deb7a63895208e8227dcaa1bff05		61,216.6 Ether	0.05198140%	2
257	0x2eb08efb9e10d9f56e46938f28c13ecb33f67b15		60,083.99638258 Ether	0.05101967%	37
258	0x54cee0ef273d3d08ed120b0c561c0284a4c4490e		59,978.91509351 Ether	0.05093044%	63
259	0x1342a001544b8b7ae4a5d374e33114c66d78bd5f	Gatecoin Hacker 2	59,491.41000001 Ether	0.05051648%	14
260	0xd4914762f9bd566bd0882b71af5439c0476d2ff6	Gatecoin Hacker 1	59,480.51000001 Ether	0.05050722%	15
261	0x5bcd25b6e044b97dfc941b9ec4b617ec10e1abcd		59,390.40799044 Ether	0.05043071%	159
262	0xa43d2e05ed00c040c8422a88cb8ede921a539f92		59,013.14017755 Ether	0.05011036%	790
263	0x998a7fd73446cd6532bf3058a270581730b27137		58,938.03695535 Ether	0.05004659%	5
